date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2011-08-05,17.2,17.52,16.3,16.29,907040.12,-1.04,-6.0,17.272,16.941,17.268,1107537.49,1043400.69,1343679.17
2011-07-29,17.1,17.75,17.34,16.7,1021705.75,0.13,0.76,17.398,17.071,17.244,1180344.16,1068074.56,1353175.29
2011-07-22,18.0,18.13,17.21,17.15,874809.31,-0.78,-4.34,17.328,17.171,17.18,1167454.61,1094650.71,1386177.29
2011-07-15,17.39,18.2,17.99,16.94,1351388.38,0.47,2.68,17.064,17.217,17.153,1187625.54,1043968.21,1480657.11
2011-07-08,16.99,17.8,17.52,16.97,1382743.88,0.59,3.48,16.772,17.172,17.048,1031876.26,1019032.88,1499563.1
2011-07-01,16.98,17.53,16.93,16.58,1271073.5,-0.06,-0.35,16.61,17.24,16.971,979263.89,1123782.12,1500654.56
2011-06-24,15.9,17.19,16.99,15.75,957258.0,1.1,6.92,16.744,17.333,16.9,955804.96,1218666.12,1463558.82
2011-06-17,16.39,16.82,15.89,15.85,975663.94,-0.64,-3.87,17.014,17.507,16.822,1021846.81,1462329.92,1430293.04
2011-06-10,16.55,16.92,16.53,16.4,572642.0,-0.18,-1.08,17.37,17.635,16.788,900310.87,1530980.76,1423210.81
2011-06-03,17.47,17.74,16.71,16.49,1119682.0,-0.89,-5.06,17.572,17.639,16.719,1006189.49,1639937.1,1449939.73
2011-05-27,18.27,18.34,17.6,17.6,1153778.88,-0.74,-4.04,17.87,17.594,16.683,1268300.34,1643957.66,1456402.22
2011-05-20,17.46,18.59,18.34,17.14,1287467.25,0.67,3.79,17.922,17.417,16.623,1481527.27,1638276.02,1477379.11
2011-05-13,17.5,17.72,17.67,17.0,367984.22,0.13,0.74,18.0,17.188,16.496,1902813.02,1677703.86,1474516.5
2011-05-06,18.15,18.36,17.54,17.46,1102035.12,-0.66,-3.63,17.9,17.089,16.434,2161650.65,1917346.01,1509928.4
